0,1,2,3,4,5,6,7,8,9,10
beef,berries,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
tropical fruit,soda,,,,,,,,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
bottled water,bottled water,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
dessert,frozen meals,,,,,,,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
soda,fruit/vegetable juice,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
pip fruit,soda,,,,,,,,,
coffee,cream cheese ,,,,,,,,,
soda,bottled water,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,pork,pip fruit,soda,beef,fruit/vegetable juice,root vegetables,berries,misc. beverages,,
canned beer,yogurt,,,,,,,,,
bottled water,chewing gum,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
pastry,roll products ,,,,,,,,,
frankfurter,butter,red/blush wine,,,,,,,,
pork,long life bakery product,,,,,,,,,
beverages,oil,,,,,,,,,
pastry,pastry,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
frankfurter,dessert,,,,,,,,,
dessert,citrus fruit,,,,,,,,,
bottled water,berries,oil,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
soda,whole milk,soda,specialty bar,bottled water,,,,,,
sausage,whole milk,long life bakery product,UHT-milk,flour,chocolate,,,,,
root vegetables,shopping bags,,,,,,,,,
sausage,mustard,,,,,,,,,
soda,yogurt,,,,,,,,,
bottled water,photo/film,,,,,,,,,
whole milk,coffee,,,,,,,,,
chicken,canned beer,,,,,,,,,
bottled water,long life bakery product,soda,,,,,,,,
brown bread,pot plants,,,,,,,,,
soda,bottled beer,chicken,yogurt,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,frozen potato products,fruit/vegetable juice,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
beverages,shopping bags,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
coffee,other vegetables,specialty cheese,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,frozen vegetables,soda,chocolate,,,,,,,
pastry,dishes,waffles,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
brown bread,whole milk,light bulbs,,,,,,,,
oil,chewing gum,,,,,,,,,
misc. beverages,yogurt,misc. beverages,,,,,,,,
margarine,whole milk,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
rolls/buns,rum,,,,,,,,,
curd,spices,frozen fish,,,,,,,,
bottled beer,ham,other vegetables,pork,whole milk,oil,brown bread,,,,
whole milk,waffles,,,,,,,,,
other vegetables,chicken,,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
canned beer,sliced cheese,,,,,,,,,
sugar,coffee,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
sausage,specialty bar,,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
whole milk,misc. beverages,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
yogurt,yogurt,,,,,,,,,
soda,root vegetables,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
canned vegetables,white bread,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
chewing gum,ham,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
frankfurter,mustard,,,,,,,,,
dessert,bottled water,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
hygiene articles,skin care,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
sausage,pastry,ice cream,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
soda,shopping bags,,,,,,,,,
onions,cat food,,,,,,,,,
curd,yogurt,,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
other vegetables,canned beer,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
pork,sliced cheese,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
artif. sweetener,herbs,,,,,,,,,
sausage,butter milk,meat spreads,,,,,,,,
pork,beef,yogurt,,,,,,,,
canned beer,curd,,,,,,,,,
other vegetables,shopping bags,shopping bags,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
baking powder,canned beer,specialty chocolate,,,,,,,,
sausage,salt,,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
meat,root vegetables,,,,,,,,,
curd,yogurt,misc. beverages,pickled vegetables,,,,,,,
chicken,soda,shopping bags,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
brown bread,sausage,rolls/buns,bottled water,,,,,,,
curd cheese,popcorn,,,,,,,,,
pet care,other vegetables,,,,,,,,,
misc. beverages,other vegetables,rolls/buns,brown bread,,,,,,,
hamburger meat,yogurt,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
dishes,dessert,,,,,,,,,
tropical fruit,curd,brown bread,,,,,,,,
mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals,,,,,,
sausage,root vegetables,,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
tropical fruit,pudding powder,,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
specialty cheese,bottled water,,,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
bottled beer,margarine,,,,,,,,,
berries,newspapers,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
rolls/buns,grapes,,,,,,,,,
whole milk,soda,,,,,,,,,
soda,whole milk,,,,,,,,,
pork,sugar,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
salt,cake bar,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
margarine,berries,,,,,,,,,
berries,hygiene articles,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
citrus fruit,chicken,,,,,,,,,
white wine,canned vegetables,flour,,,,,,,,
berries,frozen vegetables,,,,,,,,,
ice cream,soda,,,,,,,,,
whole milk,bottled water,whole milk,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
butter,soda,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
soda,whole milk,,,,,,,,,
chicken,citrus fruit,whole milk,berries,instant coffee,,,,,,
root vegetables,candles,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
bottled water,margarine,,,,,,,,,
sausage,oil,whole milk,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
whole milk,bottled water,,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
specialty bar,soda,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
butter milk,hygiene articles,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
bottled beer,butter,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
other vegetables,oil,,,,,,,,,
ice cream,other vegetables,misc. beverages,,,,,,,,
canned beer,honey,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
cat food,whole milk,chocolate,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
yogurt,ham,,,,,,,,,
whole milk,beverages,,,,,,,,,
rice,dish cleaner,,,,,,,,,
beef,flour,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
honey,salty snack,,,,,,,,,
canned beer,bottled water,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
frankfurter,shopping bags,,,,,,,,,
newspapers,root vegetables,,,,,,,,,
beef,soda,,,,,,,,,
bottled water,soda,soda,,,,,,,,
whole milk,flour,,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
rolls/buns,curd,,,,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
pastry,curd,,,,,,,,,
specialty cheese,onions,,,,,,,,,
yogurt,brown bread,,,,,,,,,
onions,bottled beer,yogurt,rolls/buns,,,,,,,
tropical fruit,frozen potato products,vinegar,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
soda,soda,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
brown bread,pip fruit,,,,,,,,,
soda,pip fruit,sugar,brown bread,,,,,,,
grapes,soda,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
brown bread,pastry,,,,,,,,,
beef,whole milk,canned vegetables,,,,,,,,
onions,newspapers,,,,,,,,,
whole milk,grapes,,,,,,,,,
pork,brown bread,,,,,,,,,
chicken,butter milk,,,,,,,,,
ice cream,bottled beer,brown bread,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
whole milk,yogurt,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
rolls/buns,pork,,,,,,,,,
roll products ,butter milk,,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
butter milk,frozen vegetables,,,,,,,,,
onions,bottled water,cream cheese ,hard cheese,,,,,,,
white bread,photo/film,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
yogurt,beverages,,,,,,,,,
tropical fruit,soda,,,,,,,,,
bottled beer,other vegetables,salty snack,,,,,,,,
chocolate,tea,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
ice cream,beef,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
misc. beverages,coffee,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
frankfurter,pastry,salt,,,,,,,,
berries,soda,fruit/vegetable juice,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
chicken,whole milk,butter,soda,,,,,,,
berries,dessert,dessert,,,,,,,,
butter,frozen meals,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
semi-finished bread,spices,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
other vegetables,margarine,,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
ham,bottled water,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
whole milk,other vegetables,,,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
white bread,whole milk,hygiene articles,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
pastry,whole milk,,,,,,,,,
pork,soda,other vegetables,ice cream,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
processed cheese,yogurt,,,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
white wine,fruit/vegetable juice,,,,,,,,,
other vegetables,beef,,,,,,,,,
onions,pip fruit,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
whole milk,flower soil/fertilizer,,,,,,,,,
root vegetables,soda,,,,,,,,,
chicken,shopping bags,,,,,,,,,
root vegetables,dessert,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
pork,yogurt,margarine,,,,,,,,
curd,newspapers,,,,,,,,,
sausage,other vegetables,,,,,,,,,
beef,root vegetables,,,,,,,,,
yogurt,whole milk,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
margarine,other vegetables,,,,,,,,,
yogurt,shopping bags,waffles,chocolate,,,,,,,
soda,dish cleaner,,,,,,,,,
cream cheese ,pip fruit,cat food,shopping bags,,,,,,,
soft cheese,coffee,,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,butter,dog food,,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
meat,butter milk,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
yogurt,seasonal products,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
root vegetables,butter,dessert,,,,,,,,
prosecco,rolls/buns,specialty chocolate,white bread,,,,,,,
bottled beer,root vegetables,,,,,,,,,
whole milk,root vegetables,rolls/buns,whipped/sour cream,,,,,,,
rolls/buns,tropical fruit,root vegetables,condensed milk,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
UHT-milk,yogurt,napkins,,,,,,,,
yogurt,tropical fruit,specialty bar,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
frozen dessert,detergent,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
whipped/sour cream,specialty fat,,,,,,,,,
soda,soda,cereals,,,,,,,,
root vegetables,whole milk,,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
soda,brown bread,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
butter milk,newspapers,,,,,,,,,
berries,rolls/buns,,,,,,,,,
tropical fruit,soda,,,,,,,,,
rice,jam,,,,,,,,,
sausage,bottled beer,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,canned beer,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
sausage,pastry,,,,,,,,,
roll products ,waffles,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
zwieback,onions,female sanitary products,,,,,,,,
ham,brown bread,,,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
turkey,flour,,,,,,,,,
coffee,butter milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
soda,brown bread,,,,,,,,,
butter milk,newspapers,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pork,soft cheese,rolls/buns,butter milk,butter,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
pork,ice cream,,,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
white wine,domestic eggs,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
other vegetables,soap,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
newspapers,roll products ,,,,,,,,,
pip fruit,curd,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
pip fruit,other vegetables,coffee,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
whole milk,herbs,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,white bread,,,,,,,,,
beef,white wine,,,,,,,,,
brandy,pastry,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
meat,onions,misc. beverages,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
hamburger meat,salty snack,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
whole milk,cat food,processed cheese,rolls/buns,,,,,,,
mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
beverages,waffles,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
whole milk,pork,,,,,,,,,
yogurt,pasta,,,,,,,,,
frozen fish,margarine,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
other vegetables,other vegetables,jam,,,,,,,,
beverages,yogurt,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
other vegetables,soda,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
frankfurter,brown bread,,,,,,,,,
dish cleaner,pet care,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
